circular_no,name,date,link
2.5.14,Submission of Statement of Defense and Counter-claims before the Arbitral Tribunals on behalf of NHAI,31.12.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.14.pdf
2.5.13,Claims before the Arbitral Tribunals on behalf of NHAI,31.12.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.13.pdf
2.5.12,"Format for Indemnity Bond to be obtained from Concessionaire / Contractor in compliance to para 3.5 of NHAI / Policy Guidelines/EPC & DBFOT Contract/2019 no. 2.5.11/2019 dated 17th May, 2019.",15.10.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.12.pdf
2.5.11,Guidelines on Reimbursement for increase/recovery for decrease in Royalty rates of minor minerals under Change in Law in EPC/DBFOT projects.,17.05.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.11.pdf
2.5.10,Empanelment of Law Firms / Advocates in ROs / PIUs of NHAI 2017 - reg.,06.09.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.10.pdf
2.5.9,Dispute with regards reimbursement of royalty charges due to subsequent legislation. - Final Order of Hon'ble Supreme Sourt.,27.11.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.9.pdf
2.5.8,Detailing advocates for court cases at the level of RO/ PD,10.09.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.8.pdf
2.5.7,Guidelines for seeking legal opinion etc from Law firms/ advocates and engaging them for litigation,10.10.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.7.pdf
2.5.6,Guidelines for seeking legal opinion from law firms/ counsels.,10.10.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.6.pdf
2.5.5,Fixing of affidavits on issues of Policy Matters before any courts of law in consultation with MoRT&H,6.2.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.5.pdf
2.5.4,Guidelines for seeking expert legal opinion from Law/ firms/counsels/SG/ASGI,01.4.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.4.pdf
2.5.3,"Guidelines for seeking expert legal opinion from law firms(s)/ counsel(s),Solicitor/Additional Solicitor General of India.",30.07.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.3.pdf
2.7.8,Entering into Supplementary Agreement on schedule of fee and other expenses of Arbitrators- amendment to Policy Circular No.Admn/Fin/109/2013 dated 01.04.2013,8.5.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.7.8.pdf
2.7.7,Entering into Supplementary Agreement on schedule of fee and other expenses of Arbitrators.,01.04.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.7.7.pdf
2.7.6,Entering into Supplementary Agreement on schedule of fee and other expenses of Arbitrators.,04.08.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/2.7.6.pdf
2.7.5,Charges for conducting Arbitral Proceedings out side NHAI premises.,29.09.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/2.7.5.pdf
2.7.4,Fee of arbitrators in case of civil engineering construction contracts/ supervision consultant.,07.01.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/2.7.4.pdf
2.7.3,Engagement of Techno Legal Experts to deal the Arbitration cases on behalf of NHAI.,17.08.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/2.7.3.pdf
2.7.2,Fee of Arbitrators in the cases of Civil Engineering construction contracts/ supervision consultancies.,31.05.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/2.7.2.pdf
2.7.1,Fee or arbitrators in case of Civil Engineering Construction Contracts.,27.03.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/2.7.1.pdf
2.8.8,Accounting the experience of subsidiaries in the technical evaluation of the holding/main company.,12.02.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/2.8.8.pdf
2.8.7,Schedule of fee for legal charges to advocates/ Techno legal expert/ law firms- amendment to Policy Circular Admn/ Fin (140/2014) dated 4.6.2014,31.7.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/2.8.7.pdf
2.8.6,Schedule of fee for legal charges to advocates/Techno Legal Experts/ Law firms.,04.06.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/2.8.6.pdf
2.8.5,Clarificatin to Schedule of fee for legal charges for advocates/ Techno legal experts/ Law firms given on effective and non effective hearing and admissibility of professional fee of the advocates.,15.05.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/2.8.5.pdf
2.8.4,Clarifications to Schedule of Fee for Legal Charges to Advocates/ Techno legal Experts/ Law Firms.,24.01.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/2.8.4.pdf
2.8.3,Schedule of fee for legal charges to advocates/Techno Legal Experts/ Law firms.,19.12.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/2.8.3.pdf
2.8.2,Schedule of fee for legal charges to advocates/Techno Legal Experts/ Law firms.,24.12.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/2.8.2.pdf
2.8.1,Payment of legal charges,14.03.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/2.8.1.pdf
3.1.41,Inclusion of Provisions regarding accepting Insurance Surety Bonds (ISB) for Mobilization Advance in EPC Contracts - reg.,02.01.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/3.1.41.pdf
3.1.40,"Amendment in General Financial Rule (GFR), 2017- Acceptance of Electronic Bank Guarantee (e-BG) - reg.",01.07.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/3.1.40.pdf
3.3.33,Standard Operating Procedures for completion of GST Special Audit of Change in Law in Time-Bound Manner in respect of HAM Projects - reg.,12.11.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/3.3.33.pdf
3.3.32,Acceptance of GST Audit Report and Payment of GST to the Contractors & Concessionaires under Change in Law and Clarification against regular monthly payment of GST to the Consultants/Contractors/Service providers/other Vendors - reg.,27.05.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/3.3.32.pdf
3.3.31,Acceptance of GST Audit Report and Payment of GST to the Contractors & Concessionaires under Change in Law and Clarification against regular monthly payment of GST to the Consultants/Contractors/Service providers/other Vendors,16.05.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/3.3.31.pdf
3.3.30,Clarification regarding Applicability of GST on BOT (Toll) Projects and Payment of GST under change in law on BOT (Toll) Projects,03.05.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.3.30.pdf
3.3.29,Issues Pertaining to Change in Law due to GST and Clarification,27.04.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.3.29.pdf
3.5.10,"Standard Operating Procedure (SoP) for revised Structure of F & A Units at ROs/PIUs and new PIU centric Payment & Accounting, System in NHAI– reg.",30.11.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.10.pdf
3.5.9,Creation of Finance Wing under PDs/ROs and implementing arrangement of making large payments at NHAI (HQ) – reg.,04.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.9.pdf
3.5.8,Withdrawal of funds from CBS Accounts of NHAI- Release of Bulk Payments -Revision in limit of Bulk Payment-reg.,24.11.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.8.pdf
3.5.7,Operation of Imprest Cash amount at PIU-reg.,04.08.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.7.pdf
3.5.6,Opening of Current Account for Project Operations in view of Moratorium imposed on YES BANK,12.03.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.6.pdf
3.5.5,Timely submission of Records and Replies of Audit Observations to Govt Audit Party.,13.07.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.5.pdf
3.5.4,Implementation of Core Banking solution (CBS) in NHAI with Syndicate Bank and Canara Bank.,08.07.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.4.pdf
3.5.3,Guidelines issued by Ministry of Finance (Department of Expenditure) regardign Preference to public sector banks for handling Government transactions.,12.05.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.3.pdf
3.5.2,Operation of Bank Accounts by PIUs/CMUs.,06.11.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.2.pdf
3.5.1,Maintaining of accounts with Canara Bank or Syndicate Bank by the PIUs.,19.04.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/3.5.1.pdf
3.6.18,Appraisal of the Projects - Modifications in the Constitution of (i) Project Appraisal and Technical Scrutiny Committees (PATSC) and (ii) Internal Appraisal Committees (IAC) - reg.,21.04.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.18.pdf
3.6.17,Appraisal of the Projects - Modifications in the Constitution of (i) Project Appraisal and Technical Scrutiny Committees (PATSC) and (ii) Internal Appraisal Committees (IAC) - reg.,27.09.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.17.pdf
3.6.16,Appraisal of Projects - Modifications in the constitution of (i) Project Appraisal and Technical Scrutiny Committees (PATSC); and (ii) Internal Appraisal Committees (IAC).,05.07.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.16.pdf
3.6.15,Appraisal of BOT (Toll) Projects through PPP Division-reg.,08.03.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.15.pdf
3.6.14,"भारतमाला के तहत परियोजनाओं का मूल्यांकन - (i) परियोजना मूल्यांकन एवं तकनीकी 	जांच 	समिति (पीएटीएससी); और (ii) आंतरिक मूल्यांकन समिति (आईएसी) के गठन में 	संशोधन।
Appraisal of the Projects under Bharatmala - Modifications in the constitution of (i) Project Appraisal and Technical Scrutiny Committees (PATSC); and (ii) Internal Appraisal Committees (IAC).-reg.",09.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.14.pdf
3.6.13,"भारतमाला के तहत परियोजनाओं का मूल्यांकन - (i) परियोजना मूल्यांकन एवं तकनीकी 	जांच 	समिति (पीएटीएससी); और (ii) आंतरिक मूल्यांकन समिति (आईएसी) के गठन में 	संशोधन।
Appraisal of the Projects under Bharatmala - Modifications in the constitution of (i) Project Appraisal and Technical Scrutiny Committees (PATSC); and (ii) Internal Appraisal Committees (IAC).-reg.",06.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.13.pdf
3.6.12,Appraisal of the Projects under Bharatmala - Modifications in the constitution of (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and (ii) Internal Appraisal Committee (IAC)-reg.,19.09.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.12.pdf
3.6.11,"भारतमाला के तहत परियोजनाओं का मूल्यांकन - (i) परियोजना मूल्यांकन एवं तकनीकी 	जांच समिति (पीएटीएससी); और (ii) आंतरिक मूल्यांकन समिति (आईएसी) के गठन में 	संशोधन।
Appraisal of the Projects under Bharatmala - Modifications in the constitution of (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and (ii) Internal Appraisal Committee (IAC).",31.07.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.11.pdf
3.6.10,Appraisal of the Projects under Bharatmala – Modifications in the constitution of Project Appraisal and Technical Scrutiny Committee (PATSC)- reg.,07.06.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.10.pdf
3.6.9,Appraisal of the Projects under Bharatmala- Modifications in the Constitution of (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and ( ii) Internal Appraisal Committee (IAC),28.04.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.9.pdf
3.6.8,Appraisal of the Projects under Bharatmala – Modifications in the constitution of  (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and (ii) Internal Appraisal Committee (IAC),27.01.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.8.pdf
3.6.7,Revised format for Appraisal and Approval of new Public Funded Schemes -reg.,31.08.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.7.pdf
3.6.6,Appraisal of the Projects under Bharatmala - Modification in the constitution of (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and (ii) Internal Appraisal Committee (IAC).,07.10.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.6.pdf
3.6.5,Appraisal of the Projects under Bharatmala - Modifications in the constitution of (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and (ii) Internal Appraisal Committee (IAC).,27.07.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.5.pdf
3.6.4,Appraisal of the Projects under Bharatmala-Modification in the constitution of Project appraisal and Technical Scrutiny Committee (PATSC) & Internal Appraisal Committee (IAC),23.01.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.4.pdf
3.6.3,Appraisal of Projects under Bharatmala and NH(O) Modification in the constitution of Project Appraisal and Technical Scrutiny Committee (PATSC) & Internal Appraisal Committee (IAC) and discontinuation of Standing Cost Committee (SCC).,20.07.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.3.pdf
3.6.2,Guidelines for Submission of Proposal for appraisal to Standing Committee (SCC)-reg.,02.02.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.2.pdf
3.6.1,"Guidelines for formulation,Appraisal and Approval of Government plan funded projecs/ Schemes related to Ministry of Road transport and Highways.",12.04.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/3.6.1.pdf
3.7.1,"Constitution of five member committee for supervision,monitoring and appointment of Financial Consultants to advice NHAI for bridging the gap between existing accounting practices followed by the Authority and the observations made by C&AG on the annual financial statements of Authority for 2012-13",20.12.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/3.7.1.pdf
3.8.10,"Authorization to issue Project Authority Certificate to signing of Deemed Export Certificate for \""Excise Duty Exemption Certificate\"" to be issued by NHAI in favour of the Contractor.",30.03.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.10.pdf
3.8.9,Exemption from Excise Duty under the notification No.108/95 CE dated 28.8.1995 - Previous policy circular No.05/2002 dated 31.5.2002 and 10/2002 dated 19.6.2002.,05.02.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.9.pdf
3.8.8,Delegation of authority to Member (Fin) for signing Central Excise and Customs Duty Exemption Certificate in respect of ADB/WB assisted projects under Excise notification no.108/95-CE dated 28.8.1995 and Custom notification No.8/97 dated 11.11.1997.,31.12.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.8.pdf
3.8.7,Excise and custom duty exemption,8.10.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.7.pdf
3.8.6,"Maintenance of records for consumable items for availing duty drawback claims under \""Deemed Export Benefit\""",21.08.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.6.pdf
3.8.5,Loan register,22.02.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.5.pdf
3.8.4,Price escalation of Bitumen in respect of Externally Aided Projects (EAP) where certificate to avail either \`excise duty exemption\` or \`deemed export benefit\` is issued by NHAI in favour of the contractors.,14.2.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.4.pdf
3.8.3,Issue of certificates to the contractors for availment of customs/ central excise duty exemption,30.09.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.3.pdf
3.8.2,Issue of certificates to the contractors for availment of customs/ central excise duty exemption,10.09.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.2.pdf
3.8.1,Essentiality Certificate for the goods required for the externally aided projects-reg.,06.05.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/3.8.1.pdf
7.1.83,"Optimization of LA Activities Timeline for Land Acquisition under Section 3 of National Highways Act, 1956- reg.",09.04.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.83.pdf
7.1.82,Revised Guideline for Alignment & Land Acquisition plan (LAP) approval through Data Lake - reg.,24.01.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.82.pdf
7.1.81,"Delegation of Powers to Regional Officers, NHAI for approval of Resources for Site Clearance, Removal/Demolition of Structure falling within Project ROW & Securing of ROW after taking Possession under 3(E) of NH Act, 1956- reg.",01.01.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.81.pdf
7.1.80,Standard Operating Procedure (SOP) for Handling and monitoring of Land Acquisition Arbitration & Court Cases– Reg.,25.04.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.80.pdf
